"class","dimension 1","dimension 2","dimension 3","dimension 4","dimension 5"
1,0.00455791666172445,0.00155013473704457,0.999192792922258,0.988344343146309,0.0114625392016023
1,0.0144568348769099,0.0088927901815623,0.999100564047694,0.985977617558092,0.0195690982509404
1,0.0222895045299083,0.00993492873385549,0.998870157636702,0.976508829975501,0.0198581537697464
1,0.0263793005142361,0.0144349865149707,0.998130461899564,0.973335798596963,0.0306762475520372
1,0.0339677191805094,0.0155793551821262,0.996559101389721,0.962840864667669,0.0388974908273667
1,0.0348087367601693,0.0199854697566479,0.981814365601167,0.961523570353165,0.0398920131847262
1,0.0370771083980799,0.0277879263740033,0.977702792035416,0.955330691765994,0.0412555104121566
1,0.0433447079267353,0.0349606161471456,0.974676823941991,0.95438784500584,0.0423443277832121
1,0.0526072655338794,0.0377219510264695,0.974260139279068,0.950548520311713,0.0506379269063473
1,0.0549727883189917,0.0392611306160688,0.957805523183197,0.946714268764481,0.0507774413563311
1,0.0619743359275162,0.0449878354556859,0.952959823422134,0.93245713156648,0.0548498120624572
1,0.0635250038467348,0.0560552217066288,0.937865362735465,0.925731188850477,0.0620124915149063
1,0.0636149023193866,0.0639099709223956,0.936874883016571,0.922802892513573,0.0622134888544679
1,0.0654865810647607,0.0705340702552348,0.93069882132113,0.92007094877772,0.0691724503412843
1,0.0666352440603077,0.070709215477109,0.923562524607405,0.919424613704905,0.0806011855602264
1,0.0784555294085294,0.0784301413223147,0.923303918447345,0.912474582670256,0.0822929441928864
1,0.0892905057407916,0.0854329236317426,0.920971707673743,0.902458166703582,0.0832548311445862
1,0.0910961718764156,0.0930648047942668,0.912768317153677,0.892805636161938,0.0892951574642211
1,0.0977813261561096,0.0955148080829531,0.912764485692605,0.888042642734945,0.100883637089282
1,0.0983470417559147,0.111958423862234,0.911792531609535,0.887897605076432,0.109265293460339
1,0.104922600323334,0.115021249046549,0.903838658006862,0.884711179649457,0.113362672971562
1,0.114753862610087,0.125256897881627,0.903799059102312,0.881543483352289,0.114906633505598
1,0.115775712067261,0.125531695317477,0.897232627496123,0.879575825529173,0.116046163486317
1,0.127448198152706,0.125695284688845,0.893861535703763,0.863021753262728,0.119668825995177
1,0.128296149894595,0.126245266990736,0.889277964364737,0.862103792373091,0.124216349329799
1,0.130772033473477,0.126551249995828,0.887064578477293,0.861031979322433,0.127721332246438
1,0.141370008466765,0.126985864713788,0.875665318453684,0.859582304256037,0.131285876967013
1,0.177177217323333,0.127564874710515,0.862149443011731,0.858471117448062,0.137850950006396
1,0.179440117673948,0.129560677101836,0.859624696196988,0.857334780972451,0.150526865851134
1,0.181000420125201,0.13560064858757,0.849635769147426,0.833209500648081,0.16146529535763
1,0.18320912308991,0.140554359182715,0.845209043705836,0.832196045434102,0.16406351653859
1,0.187771212076768,0.14358516340144,0.845054907957092,0.831113048363477,0.167002271628007
1,0.194396155653521,0.144185624783859,0.844647119520232,0.812460267683491,0.171592633472756
1,0.198096489533782,0.148591154720634,0.843814053107053,0.807340790983289,0.173016899265349
1,0.201156076509506,0.176136539317667,0.838507175678387,0.804221508093178,0.179092215606943
1,0.20935705746524,0.177117389626801,0.832505418453366,0.799377043033019,0.187306442996487
1,0.2162171152886,0.178563115885481,0.825262092519552,0.797863563522696,0.187946774298325
1,0.224476739531383,0.17867746995762,0.815916891209781,0.785179834347218,0.188912659417838
1,0.2400495945476,0.192415103549138,0.810454703634605,0.782250297954306,0.190928348572925
1,0.241212919121608,0.193450481398031,0.806621895171702,0.781716314842924,0.191750263329595
1,0.252666507614776,0.197246107272804,0.802481652237475,0.777932878350839,0.198511371621862
