Cluster,ObjectID,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5
Class_1,22,0.014736223550272,0.998459389385792,0.97971717048977,0.032259003796472,0.560471624578908
Class_1,50,0.024176010870134,0.992685278171426,0.964553302105086,0.036779532231283,0.687224157365029
Class_1,96,0.027153484800325,0.990501486566387,0.964290161223775,0.066287148215565,0.001379986632946
Class_1,89,0.030277788548721,0.977849603053239,0.934604624115128,0.074546223502649,0.920481589434108
Class_1,85,0.052993565836312,0.977704889978391,0.933325179246445,0.112580737915843,0.468306827419543
Class_1,84,0.059220182154636,0.97184760000943,0.889162536215196,0.117958316320654,0.179448725537293
Class_1,75,0.059528179439705,0.970654568774353,0.887432283590928,0.129174141095494,0.691545222558871
Class_1,5,0.071395428007702,0.968934649205434,0.884638107458986,0.145075117352543,0.33863786619102
Class_1,13,0.0987632817843,0.96630876612136,0.884410019299259,0.168745979345895,0.002828569836083
Class_1,90,0.109052542558811,0.963056497434029,0.88205138971372,0.171881158397232,0.541357636481807
Class_1,95,0.127773129089434,0.95706898103261,0.869195108819533,0.198874203230107,0.5240856294137
Class_1,86,0.132313319037477,0.950371422551783,0.865493578262283,0.210624371634978,0.127864400399613
Class_1,92,0.14438414462828,0.931943819297235,0.864739032448716,0.222447163916761,0.860241981721568
Class_1,56,0.15614355785786,0.927702119980492,0.864353712178968,0.231141589753236,0.646655619164471
Class_1,33,0.161239126458521,0.920305428328482,0.854189474954704,0.243297812050134,0.342189945072849
Class_1,16,0.16887656007998,0.919408415307702,0.852723803583392,0.245688414548753,0.604001766209816
Class_1,72,0.172644952608571,0.917460791710655,0.823341229819653,0.247956465572939,0.78474462018173
Class_1,67,0.227219574901966,0.915687267879465,0.815338429411127,0.273750238132237,0.254949235175935
Class_1,83,0.234051177631098,0.888232983339286,0.79295980823366,0.273796222586838,0.242878187348315
Class_1,24,0.23674472127264,0.874851682463863,0.791884330222962,0.279341776431423,0.787946386639052
Class_1,38,0.24358806087396,0.874010786465762,0.770266476276023,0.285147621913288,0.920330315864838
Class_1,17,0.265876992691644,0.866698514331507,0.767525939585005,0.290082422513674,0.425154984153393
