Cluster,ObjectID,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5
Class_2,0,0.882289462214093,0.87044975794958,0.878640843406061,0.068020689960831,0.909446173177088
Class_2,1,0.80794294077171,0.901508649377,0.865389135910007,0.144158648727997,0.967320042469951
Class_2,2,0.946597928497574,0.937507884959681,0.830936998463335,0.180344391389627,0.821397699573453
Class_2,3,0.944940882550542,0.933523863480789,0.856503876965333,0.163462076331654,0.94096700851398
Class_2,4,0.929385888580194,0.756230108179005,0.891063259299217,0.116976347800666,0.83281150048335
Class_2,5,0.86692297523464,0.931846759509626,0.846935753698024,0.13228485503477,0.844732717628854
Class_2,6,0.985894781163734,0.765244431263521,0.904189222606926,0.021143212815764,0.921778914694918
Class_2,7,0.769066099344197,0.855709023535579,0.998391005061706,0.000438585570129,0.853388450208005
Class_2,8,0.821441340340279,0.956436593671534,0.991270458239397,0.098934891284653,0.940001315960809
Class_2,9,0.839223134246324,0.919653245079878,0.805681840279311,0.192289721531462,0.907614209962204
Class_2,10,0.905357525794779,0.866208233191789,0.988706033968764,0.122973592030508,0.755634940718434
Class_2,11,0.948657780423343,0.801320770995958,0.882095403358078,0.155001654952434,0.930347172406829
Class_2,12,0.845999864650628,0.960413772644498,0.788604219981794,0.181469885199812,0.817905421110543
Class_2,13,0.910533929840978,0.943231957539867,0.857200392581337,0.074181129192148,0.888488830921549
Class_2,14,0.822396892863682,0.930377089913018,0.873120145134386,0.133672195104022,0.754428360632512
Class_2,15,0.80946564624314,0.945215207631582,0.982606786749451,0.074804470193454,0.957740887019535
Class_2,16,0.897894158530273,0.971224905216329,0.75104492399088,0.079391248858024,0.9679996671108
Class_2,17,0.89358192801615,0.821477063391553,0.787110068731559,0.245621076055029,0.875128208893605
Class_2,18,0.818392140930695,0.927598741095171,0.771258340986634,0.125950597900732,0.947672342076299
Class_2,19,0.822932817379169,0.790619183600966,0.988844073375799,0.001822948357668,0.766505726953505
Class_2,20,0.795018290639275,0.841199924299552,0.872798149952132,0.147652447137798,0.855605525403186
Class_2,21,0.874512885742772,0.974354771905972,0.797804241517,0.039339894276404,0.833529674149494
Class_2,22,0.870100972436456,0.981848568713316,0.986304647246806,0.179404947038603,0.802731259354088
Class_2,23,0.852396288398147,0.934927364742949,0.961921863919258,0.245079784984018,0.977815043009865
Class_2,24,0.855268674573387,0.794461719616375,0.918493479826614,0.152645415300069,0.848740563828995
Class_2,25,0.809834436101378,0.98997447699937,0.873000625707941,0.055767209244496,0.881887246560802
