Cluster,ObjectID,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5
Class_1,85,0.64445174227528,0.379898362678765,0.999737266891793,0.829140314343708,0.2803461069443
Class_1,379,0.103762801353419,0.139058967701135,0.999209697964784,0.093463383947157,0.858467243718869
Class_1,244,0.843651674035472,0.831431028102442,0.998759331447782,0.811716900410602,0.040552026527669
Class_1,211,0.052064895929251,0.069880062059943,0.998649662158997,0.924167462536338,0.823854678116773
Class_1,196,0.898482340329117,0.225845031646333,0.99518276385185,0.241073676431942,0.491571623424926
Class_1,30,0.47595828933963,0.542429996919747,0.991846100363016,0.24945979592305,0.524745051745418
Class_1,141,0.673164685643589,0.292201009542821,0.990056193848918,0.549884649284836,0.828140479855007
Class_1,340,0.9608546846375,0.280216251057918,0.988172791567007,0.009167555273757,0.167015490495645
Class_1,53,0.632983475695752,0.393795675360022,0.982929944917496,0.304583854557524,0.686175929517898
Class_1,272,0.795666541324824,0.443748388772823,0.973937474629258,0.022167832891771,0.297277263676031
Class_1,231,0.160681598789357,0.162340508103327,0.968979270789852,0.625117964798996,0.120695500174154
Class_1,278,0.124128043499326,0.756863675895482,0.965569591749517,0.140031649957122,0.492963277617385
Class_1,207,0.890686549032458,0.340329724235391,0.960024324621761,0.634290521628851,0.871379798176075
Class_1,183,0.938529514483864,0.124719367396029,0.959257909411592,0.55718738384793,0.053902732929623
Class_1,250,0.919131729905031,0.57212209179695,0.958603788627275,0.895627781343194,0.130984340653393
Class_1,24,0.218561346930738,0.079781509247004,0.958488138480765,0.130716950151645,0.904484799235134
Class_1,391,0.201965261047785,0.978589777324288,0.958331347063833,0.887053984444303,0.502542946178417
Class_1,222,0.812422521458015,0.856101083307348,0.957217318343117,0.700847987684605,0.510690098520327
Class_1,69,0.483487347218842,0.615856853135062,0.957016098917241,0.680288130724929,0.981227653810494
Class_1,253,0.292768844741779,0.771025284073035,0.944347905220488,0.281240368673316,0.759132413140905
Class_1,311,0.198186584544066,0.361463016591179,0.942210639182045,0.973191979516772,0.256542157017278
Class_1,383,0.294035764513398,0.074432819054717,0.941376110813064,0.509274504365991,0.205776287415182
Class_1,203,0.544154687088095,0.90536446922653,0.937436479652155,0.666323772605608,0.345924042063843
Class_1,123,0.273493110800262,0.757406168971401,0.934855041112929,0.019900095931065,0.048675940155496
Class_1,302,0.340045176023119,0.498712229240679,0.934123973373956,0.206150858573966,0.510740338230804
Class_1,354,0.390565157341035,0.770173640373915,0.916704512089585,0.267529029886677,0.503797540994431
Class_1,316,0.566275252047216,0.741564003164431,0.914022013230809,0.911973083360685,0.648425516758558
Class_1,45,0.694309405288909,0.498368800281265,0.913596986695797,0.433332671836572,0.63519776982819
Class_1,356,0.091183555014888,0.771871405664801,0.912131604007457,0.324267757037487,0.841565027576201
Class_1,385,0.854602621613238,0.072351164568258,0.907278126758474,0.1316918401861,0.008686099449426
Class_1,1,0.192956539752744,0.320189565639248,0.90694219280177,0.467910846275854,0.580999385669835
Class_1,371,0.026314333743597,0.5820142267172,0.904527906797208,0.288799712271777,0.0926492210706
Class_1,121,0.936916830621546,0.296420213299114,0.904330300529025,0.125514799993558,0.615866471340583
Class_1,161,0.279368226772785,0.456914231716099,0.902283948984636,0.767154106826378,0.296281784553811
Class_1,198,0.645202953003057,0.252321760856116,0.901661294227425,0.491324470799889,0.064989369631496
Class_1,351,0.709804071981374,0.444554271160475,0.898709314042513,0.106203740910996,0.849071668505686
